id,created_at,updated_at,steam_id,marketplace_slug,source,related_steam_id,reversed_at,reporter_internal_id,expunged_at
181858311002390528,1779048000107,1779048000107,76561199777437271,csfloat,0,,1779046738552,2817171,
181873410782003200,1779051600175,1779051600175,76561198359033616,csfloat,0,,1779051007437,2817473,
181888510305763328,1779055200182,1779055200182,76561199247938745,csfloat,0,,1779053826270,2817659,
181888510318346240,1779055200185,1779055200185,76561198884715810,csfloat,0,,1779054478439,2817688,
181948908199477248,1779069600162,1779069600162,76561198074554760,csfloat,0,,1779067844365,2818534,
181956457590161408,1779071400077,1779071400077,76561198869656271,csfloat,0,,1779069766464,2818592,
181971558229606400,1779075000350,1779075000350,76561199099596909,csfloat,0,,1779073762967,2818735,
182047054548172800,1779093000075,1779093000075,76561198272230275,csfloat,0,,1779091861051,2819431,
182062154642358272,1779096600218,1779096600218,76561199554650678,csfloat,0,,1779095029682,2819553,
182062154654941184,1779096600221,1779096600221,76561199098612305,csfloat,0,,1779095215894,2819557,
182069703777189888,1779098400072,1779098400072,76561199052559843,csfloat,0,,1779097013669,2819627,
182077253918654464,1779100200166,1779100200166,76561198809567839,csfloat,0,,1779098150417,2819693,
182077253931237376,1779100200169,1779100200169,76561198381882496,csfloat,0,,1779099539753,2820039,
182092353530494976,1779103800194,1779103800194,76561199118451022,csfloat,0,,1779102783714,2820541,
182099903546130432,1779105600258,1779105600258,76561198030067953,csfloat,0,,1779104292691,2820623,
182099903554519040,1779105600260,1779105600260,76561199209850145,csfloat,0,,1779105193738,2820674,
182099903562907648,1779105600262,1779105600262,76561199140493814,csfloat,0,,1779105269854,2820675,
182107453268164608,1779107400252,1779107400252,76561199811913943,csfloat,0,,1779106073556,2820726,
182122551999201280,1779111000070,1779111000070,76561199027164448,csfloat,0,,1779109149488,2820990,
182130102463627264,1779112800241,1779112800241,76561198381232658,csfloat,0,,1779111221067,2821215,
182137651615236096,1779114600099,1779114600099,76561199802969617,csfloat,0,,1779113360974,2821293,
182145201811226624,1779116400206,1779116400206,76561198302098268,csfloat,0,,1779115356902,2821351,
182145201823809536,1779116400209,1779116400209,76561199840955826,csfloat,0,,1779115992038,2821378,
182182950027132928,1779125400082,1779125400082,76561199517775467,csfloat,0,,1779124624737,2822431,
182190500441227264,1779127200241,1779127200241,76561198405933476,csfloat,0,,1779125130416,2822450,
182190500453810176,1779127200244,1779127200244,76561198887456869,csfloat,0,,1779125721195,2822477,
182190500462198784,1779127200246,1779127200246,76561198811206216,csfloat,0,,1779125726647,2822478,
182190500470587392,1779127200248,1779127200248,76561199415466192,csfloat,0,,1779125734643,2822479,
182220698758938624,1779134400081,1779134400081,76561198865435107,csfloat,0,,1779133736250,2823351,
182220700356968448,1779134400462,1779134400462,76561198864339923,csfloat,0,,1779134068597,2823359,
182228249403719680,1779136200295,1779136200295,76561198348396112,csfloat,0,,1779135743326,2823443,
182243348944257024,1779139800306,1779139800306,76561199009407254,csfloat,0,,1779138180480,2823579,
182243348952645632,1779139800308,1779139800308,76561198074307302,csfloat,0,,1779139228057,2823641,
182250898074894336,1779141600159,1779141600159,76561198749590058,csfloat,0,,1779140611508,2823744,
182258448849698816,1779143400404,1779143400404,76561199148031962,csfloat,0,,1779142029848,2823809,
182265998039056384,1779145200271,1779145200271,76561198079244870,csfloat,0,,1779143832024,2824177,
182265998051639296,1779145200274,1779145200274,76561199543707661,csfloat,0,,1779143839021,2824178,
